,TTI
0,1.005663275718689
1,1.006985068321228
2,1.0154612064361572
3,1.1565543413162231
4,1.1756513118743896
5,1.2075364589691162
6,1.1143386363983154
7,1.1224565505981445
8,1.1140689849853516
9,1.1514664888381958
10,1.1600414514541626
11,1.1667957305908203
12,1.3268377780914307
13,1.3794236183166504
14,1.4460742473602295
15,1.3722193241119385
16,1.380544662475586
17,1.4044175148010254
18,1.225834846496582
19,1.2330937385559082
20,1.252540111541748
21,1.042758584022522
22,1.060060739517212
23,1.0647578239440918
24,1.249557375907898
25,1.2508567571640015
26,1.2623757123947144
27,1.1890723705291748
28,1.1905831098556519
29,1.184475064277649
30,1.18709135055542
31,1.2072495222091675
32,1.2109897136688232
33,1.209827184677124
34,1.2182000875473022
35,1.215038776397705
36,1.2053611278533936
37,1.2110155820846558
38,1.207863688468933
39,1.1726138591766357
40,1.1645300388336182
41,1.15847647190094
42,1.0283138751983643
43,1.0255987644195557
44,1.0249404907226562
45,1.1007848978042603
46,1.1217001676559448
47,1.136451005935669
48,1.0934065580368042
49,1.1018080711364746
50,1.0990784168243408
51,1.155561923980713
52,1.1895744800567627
53,1.2332998514175415
54,1.194313406944275
55,1.2026969194412231
56,1.2332998514175415
57,1.357194185256958
58,1.4120475053787231
59,1.472510576248169
60,1.157729148864746
61,1.1675560474395752
62,1.1466675996780396
63,1.0232574939727783
64,1.0291931629180908
65,1.0249488353729248
66,1.1055779457092285
67,1.1087217330932617
68,1.1071269512176514
69,1.1527149677276611
70,1.1549506187438965
71,1.1590979099273682
72,1.1301381587982178
73,1.1741400957107544
74,1.1854431629180908
75,1.1105246543884277
76,1.1065237522125244
77,1.1116576194763184
78,1.1759034395217896
79,1.2114863395690918
80,1.2434229850769043
81,1.19802725315094
82,1.1995222568511963
83,1.1921812295913696
84,1.1148059368133545
85,1.1021709442138672
86,1.103679895401001
87,1.170517086982727
88,1.171029806137085
89,1.177156686782837
90,1.1509512662887573
91,1.1509374380111694
92,1.1644573211669922
93,1.1357409954071045
94,1.137789011001587
95,1.15020751953125
96,1.185121774673462
97,1.1892999410629272
98,1.2057042121887207
99,1.2069880962371826
100,1.2106354236602783
101,1.2042725086212158
102,1.1849185228347778
103,1.168325662612915
104,1.171553134918213
105,1.1236522197723389
106,1.1101548671722412
107,1.1139249801635742
108,1.1292850971221924
109,1.113783836364746
110,1.1184684038162231
111,1.1273213624954224
112,1.113783836364746
113,1.1115198135375977
114,1.1822755336761475
115,1.1766226291656494
116,1.1830456256866455
117,1.1143798828125
118,1.125407338142395
119,1.1374012231826782
120,1.1832380294799805
121,1.1766226291656494
122,1.1962475776672363
123,1.1769365072250366
