id_sample,TTI
0,1.012725115
1,1.017274618
2,1.016052961
3,1.156790257
4,1.180627227
5,1.213761806
6,1.118823767
7,1.136127472
8,1.142302752
9,1.144711971
10,1.1704247
11,1.164177656
12,1.314075232
13,1.348468065
14,1.372876883
15,1.36667347
16,1.322070122
17,1.332501292
18,1.21883738
19,1.241384029
20,1.230808377
21,1.064969301
22,1.080293655
23,1.074424028
24,1.236654997
25,1.261640668
26,1.253676653
27,1.1855793
28,1.194383144
29,1.213449478
30,1.195627213
31,1.228996038
32,1.259776831
33,1.188344955
34,1.2117064
35,1.242601752
36,1.201101065
37,1.208729506
38,1.221450686
39,1.150867939
40,1.157145977
41,1.161099195
42,1.027517438
43,1.021379471
44,1.020816207
45,1.112846017
46,1.123471379
47,1.12310636
48,1.09984374
49,1.103045225
50,1.096897483
51,1.155948162
52,1.169978142
53,1.188967705
54,1.195428371
55,1.236437559
56,1.297082067
57,1.354314804
58,1.392769098
59,1.401657343
60,1.161312103
61,1.137426138
62,1.149405718
63,1.026338458
64,1.024569273
65,1.019200563
66,1.11097908
67,1.106579542
68,1.101990342
69,1.152868748
70,1.161982894
71,1.154706597
72,1.13331604
73,1.164951563
74,1.177370787
75,1.115311861
76,1.11348331
77,1.09967804
78,1.170092344
79,1.176777482
80,1.167725563
81,1.205414772
82,1.196925879
83,1.20661068
84,1.122015238
85,1.114545345
86,1.11886704
87,1.173476696
88,1.167617798
89,1.167785168
90,1.148122311
91,1.146494269
92,1.144396424
93,1.145762444
94,1.157273531
95,1.15448308
96,1.203656673
97,1.240646601
98,1.284502506
99,1.213032484
100,1.204381943
101,1.207332253
102,1.185672283
103,1.178070068
104,1.176754117
105,1.099757671
106,1.090190411
107,1.091875672
108,1.125143051
109,1.122674227
110,1.126152515
111,1.114166975
112,1.114124775
113,1.113564014
114,1.178785324
115,1.172602296
116,1.175494313
117,1.129561424
118,1.129792929
119,1.137526274
120,1.162753582
121,1.164459825
122,1.170279741
123,1.172900438
124,1.165084362
125,1.168637037
126,1.139917254
127,1.137540936
128,1.139752746
129,1.165160179
130,1.170937538
131,1.167437077
132,1.175736904
133,1.183749199
134,1.191952467
135,1.20169735
136,1.192489862
137,1.205454826
138,1.195632458
139,1.193511248
140,1.197891235
141,1.21531558
142,1.200929403
143,1.208494425
144,1.189711452
145,1.182498097
