id_sample,TTI
0,1.00931793829286
1,1.0132561248072238
2,1.0155875605979114
3,1.155809110326088
4,1.1670581782793739
5,1.180047508832681
6,1.1128697747362066
7,1.123928404178429
8,1.122925844271655
9,1.1478026104734236
10,1.157030487350671
11,1.167110692525161
12,1.3023427489735875
13,1.3141740676744782
14,1.333373932172792
15,1.3608953441420908
16,1.3521150442273857
17,1.3550823967009669
18,1.218962301061196
19,1.2412935083717755
20,1.2476645616731366
21,1.0731434924506766
22,1.0847220023721005
23,1.1004538893644242
24,1.2437329850858512
25,1.2601210435017052
26,1.280721767282511
27,1.1965884379461151
28,1.1954965497375538
29,1.2067857761507295
30,1.1874434776137468
31,1.208315509365555
32,1.2337886246234526
33,1.1794910498445765
34,1.1955090112755196
35,1.2100907766598792
36,1.1912743091675395
37,1.1971322496166161
38,1.205668692896864
39,1.1550005333736655
40,1.1549783476914186
41,1.1618183937627227
42,1.024513067866505
43,1.0230156275159161
44,1.0246262883398651
45,1.1135374705268952
46,1.1242436546938563
47,1.1322724187046092
48,1.104932733425888
49,1.1106504077397918
50,1.1139863493598523
51,1.156515151898534
52,1.1707136323547764
53,1.1864727942228188
54,1.1970300063735098
55,1.218152901520439
56,1.2418039482887424
57,1.3355728142901626
58,1.3692221907846314
59,1.3893640271102128
60,1.1640439235152962
61,1.1572846565667967
62,1.161379270178916
63,1.029698875173918
64,1.027952197368915
65,1.0259600302586973
66,1.1105474120352974
67,1.1122377807678836
68,1.1108127577835167
69,1.1535690417971871
70,1.158613063020546
71,1.1572023211281919
72,1.1373265108181125
73,1.1505954751983825
74,1.1811560552331832
75,1.1175204390910387
76,1.1271000498551051
77,1.1342348940226534
78,1.1743248078514799
79,1.177756171604082
80,1.1748078403888362
81,1.2008582649842745
82,1.2085289552051202
83,1.2214182411547345
84,1.119980047233241
85,1.115971814783424
86,1.1148095503549278
87,1.1695343622388645
88,1.169601515561265
89,1.167561156965114
90,1.1482912038107018
91,1.1470672066499468
92,1.1478478690874931
93,1.1418944690131707
94,1.1443550374812081
95,1.1503491018773158
96,1.1849608893899946
97,1.19832392114995
98,1.207516696000217
99,1.2006396107057284
100,1.2022226591400176
101,1.2067640891686853
102,1.1840397444560056
103,1.1824517153180125
104,1.1824807114815206
105,1.0929449633182482
106,1.0921588752728146
107,1.095151088901902
108,1.1280857104055144
109,1.128861372446703
110,1.1336310549604691
111,1.115376866790891
112,1.1208222424418846
113,1.1223440736798707
114,1.1816846335500422
115,1.1793694251005502
116,1.179630749678162
117,1.1334012316473054
118,1.1405097370582162
119,1.1451613131067473
120,1.1721685761232552
121,1.174703751674876
122,1.17679910402968
123,1.1724004247291255
124,1.1701098661436722
125,1.1680093390391721
126,1.1363942717758935
127,1.1389215561386556
128,1.1447298682032876
129,1.1700462759639487
130,1.1770767099639128
131,1.1815930958824918
132,1.181207403996815
133,1.187876694765718
134,1.2007811511320337
135,1.211593120232185
136,1.2073923110217182
137,1.2261703511817588
138,1.1972468632213744
139,1.194555705895908
140,1.1995080307188453
141,1.2139520108768007
142,1.207148227061234
143,1.207439599527322
144,1.1905977055794872
145,1.190524642124829
146,1.194592592730063
147,1.0924846522683456
148,1.0834733722564995
149,1.0850372249313742
150,1.1103334715752298
151,1.108714871688353
152,1.116763096478742
153,1.1251752057145072
154,1.121045157152742
155,1.1290116977891498
156,1.1461156287400016
157,1.141283989205979
158,1.1591573847887136
159,1.1573075841815283
160,1.188481984542415
161,1.2132945910675712
162,1.1770605253944688
163,1.1744170497707733
164,1.1827436682300325
165,1.172739052106812
166,1.172422798541787
167,1.179112727851048
168,1.0904728346144474
169,1.0926990153153835
170,1.0876715582929266
171,1.1250657605167294
172,1.1262908069341582
173,1.129279901566194
174,1.125769399361968
175,1.1271780343953424
176,1.1292251324724407
177,1.1338777584161868
178,1.1453055114274486
179,1.1527035568235147
180,1.2155665744650854
181,1.2251411060054533
182,1.2260565827479866
183,1.228303870426625
184,1.2272168334349682
185,1.2327834804369155
186,1.2068077460664084
187,1.2048498388628264
188,1.2006321240479314
189,1.121953038937431
190,1.1246856499585258
191,1.1223541050614605
192,1.1457091890347713
193,1.141583375908379
194,1.1393919262
195,1.1413052954558793
196,1.137668153654167
197,1.1351845422363493
198,1.145207204297289
199,1.1504687568119336
200,1.149995100780424
201,1.1587836209106048
202,1.1627141272205737
203,1.1619480954495724
204,1.1573973341929813
205,1.160072084530302
206,1.1561717508224056
207,1.1637768471859546
208,1.1707609157496597
209,1.168545973073525
210,1.5048881651262997
211,1.5026050057247256
212,1.506210640685064
213,1.8292682643202993
214,1.8543968205142256
215,1.8584643721060947
216,1.8330368194970115
217,1.8564004852203808
218,1.8693738677656104
219,1.921803475973805
220,1.960183588283339
