,0,1,2
0,114.03959,22.61327,100.0
1,114.03959,22.61327,100.0
2,114.03959,22.61327,100.0
3,114.03959,22.61327,100.0
4,114.03962,22.61332,98.23000001907
5,114.03969,22.61338,94.94999980927
6,114.03985,22.61349,93.03000020981
7,114.04011,22.61354,94.07999992371
8,114.04028,22.61359,96.56999993324
9,114.04028,22.61359,96.56999993324
10,114.04034,22.61361,98.48000001907
11,114.05298,22.58968,79.7700004578
12,114.05237,22.58965,79.2900009155
13,114.05176,22.58959,79.1499996185
14,114.05118,22.58955,79.6399993896
15,114.05059,22.58952,80.1399993896
16,114.04999,22.5895,79.6499996185
17,114.0494,22.5895,80.1700000763
18,114.04883,22.58952,81.0499992371
19,114.04821,22.58961,79.2800006866
20,114.04759,22.58973,79.4200000763
21,114.04698,22.5899,79.2000007629
22,114.04644,22.59002,79.5300006866
23,114.04592,22.59015,80.1700000763
24,114.04544,22.59026,81.3799991608
25,114.04493,22.59038,82.3700008392
26,114.04446,22.59051,82.7399997711
27,114.04398,22.59064,83.0400009155
28,114.04348,22.59075,81.9899997711
29,114.04295,22.59088,81.5
30,114.04247,22.59099,82.5799999237
31,114.04198,22.59111,82.6700000763
32,114.04141,22.59124,82.4400005341
33,114.04095,22.59135,83.0599994659
34,114.04054,22.59145,83.3199996948
35,114.03999,22.59158,81.4699993134
36,114.03949,22.5917,80.8899993896
37,114.03892,22.59182,80.4400005341
38,114.03833,22.59193,79.5599994659
39,114.03774,22.59201,80.0699996948
40,114.03716,22.59209,80.0799999237
41,114.03651,22.59214,80.5200004578
42,114.03601,22.59218,80.8299999237
43,114.03543,22.5922,79.8600006104
44,114.03482,22.59218,78.5599994659
45,114.03416,22.59219,78.3600006104
46,114.03354,22.59217,79.2999992371
47,114.03292,22.59214,79.3600006104
48,114.0323,22.59209,79.3700008392
49,114.03169,22.59201,78.9599990845
50,114.03112,22.59191,79.4899997711
51,114.03058,22.59175,79.9400005341
52,114.03003,22.59162,80.0400009155
53,114.02947,22.59149,79.9699993134
54,114.02894,22.59134,81.1399993896
55,114.02842,22.59117,81.0300006866
56,114.02791,22.59098,80.8400001526
57,114.02737,22.59077,80.1900005341
58,114.02682,22.59059,80.0699996948
59,114.02624,22.59039,79.1399993896
60,114.02566,22.5902,79.8700008392
61,114.02513,22.59003,80.5100002289
62,114.0246,22.58985,81.1200008392
63,114.0241,22.58968,81.7800006866
64,114.02361,22.58951,81.8299999237
65,114.02309,22.58933,80.4599990845
66,114.02255,22.58914,80.5900001526
67,114.02198,22.58897,79.6499996185
68,114.02141,22.58879,79.3099994659
69,114.02082,22.58859,79.4799995422
70,114.02026,22.5884,79.4699993134
71,114.0197,22.58819,79.0100002289
72,114.01912,22.58798,78.6599998474
73,114.01854,22.5878,78.9699993134
74,114.01796,22.58762,79.1000003815
75,114.01737,22.5875,79.25
76,114.01678,22.58739,79.1200008392
77,114.0162,22.58732,79.3299999237
78,114.01557,22.58729,79.3999996185
79,114.01494,22.5873,79.1599998474
80,114.01435,22.58733,79.6100006104
81,114.01372,22.5874,79.0699996948
82,114.01312,22.58749,78.8799991608
83,114.01374,22.58712,88.1700000763
84,114.01405,22.58722,88.7399997711
85,114.01438,22.58735,87.9899997711
86,114.01471,22.58754,86.5200004578
87,114.01501,22.58779,86.5200004578
88,114.01526,22.58804,87.9399995804
89,114.01543,22.58832,87.8900003433
90,114.01557,22.58859,89.6300001144
91,114.01566,22.58883,91.46000003815
92,114.01571,22.58902,92.78999996185
93,114.01574,22.58919,94.65000009537
94,114.01577,22.58931,95.44000005722
95,114.0158,22.58951,92.75
96,114.01581,22.58965,95.63999986649
97,114.01581,22.58979,95.05999994278
98,114.01584,22.58992,95.01999998093
99,114.01586,22.59005,96.05999994278
100,114.01587,22.59014,96.38000011444
101,114.01589,22.59025,95.71999979019
102,114.0159,22.59036,96.07999992371
103,114.01591,22.59048,97.67000007629
104,114.01592,22.59055,96.88000011444
105,114.01592,22.59064,95.63000011444
106,114.01593,22.59075,96.86999988556
107,114.01594,22.59083,96.6400001049
108,114.01594,22.59098,94.84000015259
109,114.01595,22.59112,94.76000022888
110,114.01596,22.59129,93.80000019073
111,114.01596,22.59154,90.02999973297
112,114.01599,22.59185,88.8400001526
113,114.01602,22.59212,88.8400001526
114,114.01605,22.59242,88.8400001526
115,114.01609,22.59272,88.8400001526
116,114.01613,22.59302,88.8400001526
117,114.01616,22.59332,88.8400001526
118,114.0162,22.59362,88.8400001526
119,114.01624,22.59392,88.8400001526
120,114.01628,22.59422,88.8400001526
121,114.01633,22.59452,88.8400001526
122,114.01637,22.59481,88.8400001526
123,114.01637,22.59481,88.8400001526
124,114.01637,22.59481,88.8400001526
125,114.01648,22.59538,88.5699996948
126,114.01656,22.59576,86.5900001526
127,114.0166,22.59609,89.0100002289
128,114.01659,22.59636,90.46000003815
129,114.01657,22.59675,85.6400003433
130,114.01659,22.59721,82.1000003815
131,114.01666,22.59772,80.9699993134
132,114.01676,22.59823,80.9300003052
133,114.01682,22.59872,82.6399993896
134,114.01686,22.59921,82.3799991608
135,114.01687,22.59971,81.3500003815
136,114.01689,22.60021,80.9599990845
137,114.01685,22.60073,81.1800003052
138,114.01683,22.60124,81.1299991608
139,114.01675,22.60169,82.7299995422
140,114.01672,22.60212,83.4899997711
141,114.01664,22.6026,82.8099994659
142,114.01656,22.60306,82.5699996948
143,114.01645,22.60353,82.5200004578
144,114.01631,22.60399,82.0799999237
145,114.01614,22.60446,82.1399993896
146,114.01597,22.60491,81.8299999237
147,114.01576,22.60534,81.8799991608
148,114.01554,22.60582,81.0699996948
149,114.01535,22.60627,81.5900001526
150,114.01517,22.60674,81.4099998474
151,114.01491,22.60729,80.0499992371
152,114.01465,22.60786,78.2900009155
153,114.0144,22.60832,80.2399997711
154,114.01418,22.6088,81.2199993134
155,114.01397,22.60931,80.5
156,114.01381,22.60972,82.0100002289
157,114.01368,22.61015,82.2999992371
158,114.01356,22.61059,83.7999992371
159,114.01348,22.61101,84.6999998093
160,114.01342,22.61142,84.970000267
161,114.01337,22.61183,84.6400003433
162,114.01328,22.6123,82.8999996185
163,114.01328,22.61281,81.7900009155
164,114.0133,22.61333,79.8999996185
165,114.01331,22.61385,80.2900009155
166,114.01335,22.61436,81.0400009155
167,114.04163,22.61448,94.30999994278
168,114.04152,22.61443,95.38000011444
169,114.04137,22.61433,93.34000015259
170,114.04121,22.61424,93.84999990463
171,114.04107,22.61417,94.38000011444
172,114.04095,22.61411,95.73000001907
173,114.04088,22.61411,97.36999988556
174,114.04081,22.6141,97.18000006676
175,114.04069,22.61406,94.48999977112
176,114.0405,22.61396,92.71999979019
177,114.04035,22.61381,93.21999979019
178,114.04017,22.61363,92.42999982834
179,114.03995,22.6135,91.42000007629
180,114.03974,22.61337,92.48000001907
181,114.0396,22.61327,95.01999998093
182,114.03953,22.61323,96.98000001907
183,114.0395,22.61323,98.83000004292
184,114.03949,22.61322,99.580000013113
185,114.03949,22.61321,99.560000002384
186,114.03944,22.61321,98.22000002861
187,114.0394,22.61319,98.54999995232
188,114.03935,22.61319,98.48000001907
189,114.03933,22.61316,98.51999998093
190,114.03929,22.61312,97.97000002861
191,114.0392,22.61306,96.55999994278
192,114.0391,22.61302,96.44000005722
193,114.03905,22.61304,98.57000005245
194,114.03904,22.61302,99.520000010729
195,114.03904,22.61301,99.769999995828
