,timestamp,TTI,car_count,speed
0,1546272600.0,1.01898,560.0,68.6552
1,1546273200.0,1.03051,831.0,67.888
2,1546273800.0,1.02516,958.0,68.1789
3,1546274400.0,1.0093299999999998,758.0,69.2376
4,1546275000.0,0.9897790000000001,972.0,70.6433
5,1546275600.0,1.0236100000000001,966.0,68.2835
6,1546276200.0,1.02406,835.0,68.253
7,1546276800.0,1.03159,946.0,67.8167
8,1546277400.0,1.01948,902.0,68.5491
9,1546278000.0,1.00243,756.0,69.7112
10,1546278600.0,1.0110299999999999,649.0,69.1181
11,1546279200.0,1.00977,823.0,69.2298
12,1546279800.0,1.00705,577.0,69.391
13,1546280400.0,1.03872,642.0,67.3175
14,1546281000.0,1.01621,407.0,68.8333
15,1546281600.0,1.03572,480.0,67.5188
16,1546282200.0,1.01573,407.0,68.8151
17,1546282800.0,1.02409,413.0,68.2755
18,1546283400.0,1.0271,391.0,68.0987
19,1546284000.0,1.01019,320.0,69.2542
20,1546284600.0,0.994993,355.0,70.3114
21,1546285200.0,1.00173,255.0,69.84100000000001
22,1546285800.0,1.03906,308.0,67.3029
23,1546286400.0,1.05447,395.0,66.2968
24,1546287000.0,1.02514,159.0,68.1752
25,1546287600.0,1.02664,250.0,68.189
26,1546288200.0,1.04515,304.0,66.9074
27,1546288800.0,0.9957469999999999,281.0,70.2113
28,1546289400.0,1.02593,214.0,68.2017
29,1546290000.0,1.01302,273.0,69.0477
30,1546290600.0,1.1205,268.0,62.4397
31,1546291200.0,1.0047,303.0,69.6321
32,1546291800.0,1.01255,187.0,69.1681
33,1546292400.0,1.02645,308.0,68.1817
34,1546293000.0,1.0167700000000002,416.0,68.8066
35,1546293600.0,1.01896,274.0,68.6587
36,1546294200.0,1.08033,333.0,64.7657
37,1546294800.0,1.0436,256.0,67.0362
38,1546295400.0,1.0278399999999999,427.0,68.0671
39,1546296000.0,1.02485,343.0,68.2413
40,1546296600.0,1.00502,573.0,69.6099
