timestamp,TTI,car_count,speed
1575130200.0,1.07343,1458.0,66.8635
1575130800.0,1.06915,1163.0,67.1307
1575131400.0,1.03715,1261.0,69.2652
1575132000.0,1.05038,910.0,68.3305
1575132600.0,1.04562,812.0,68.6415
1575133200.0,1.04281,940.0,68.8268
1575133800.0,1.03673,920.0,69.2339
1575134400.0,1.05066,851.0,68.3125
1575135000.0,1.04341,487.0,68.8152
1575135600.0,1.02942,472.0,69.7856
1575136200.0,1.0143799999999998,655.0,70.9216
1575136800.0,1.04066,500.0,69.1064
1575137400.0,1.01293,371.0,70.9874
1575138000.0,1.01578,591.0,70.7503
1575138600.0,1.01569,433.0,70.6813
1575139200.0,1.00378,370.0,71.5424
1575139800.0,1.04403,554.0,68.9239
1575140400.0,1.0207700000000002,441.0,70.5261
1575141000.0,1.02515,267.0,70.2856
1575141600.0,1.03673,145.0,69.3785
1575142200.0,1.05074,331.0,68.5022
1575142800.0,1.03914,369.0,69.17
1575143400.0,1.0318200000000002,223.0,69.7366
1575144000.0,1.03207,219.0,69.8317
1575144600.0,1.03841,243.0,69.3005
1575145200.0,1.02503,219.0,70.203
1575145800.0,0.994306,250.0,72.3801
1575146400.0,1.00663,116.0,71.6173
1575147000.0,1.06244,94.0,67.797
1575147600.0,1.01819,186.0,70.7232
1575148200.0,1.03452,228.0,69.5424
1575148800.0,1.02571,255.0,70.0631
1575149400.0,1.05729,369.0,68.2085
1575150000.0,1.03464,334.0,69.5544
1575150600.0,1.00336,701.0,71.9017
1575151200.0,1.00561,1058.0,71.4116
1575151800.0,1.02682,1171.0,70.0376
1575152400.0,1.03291,968.0,69.6193
1575153000.0,1.03686,1058.0,69.34899999999999
1575153600.0,1.02839,1120.0,69.9155
1575154200.0,1.01888,969.0,70.6012
1575154800.0,1.02408,927.0,70.2359
1575155400.0,1.01471,1533.0,70.8984
1575156000.0,1.01757,1276.0,70.6837
1575156600.0,1.02564,1184.0,70.1339
1575157200.0,1.02465,1116.0,70.1581
1575157800.0,1.03076,1263.0,69.6908
1575158400.0,1.02757,845.0,69.9668
1575159000.0,1.02263,1195.0,70.2093
1575159600.0,1.02173,1100.0,70.282
1575160200.0,1.04714,1228.0,68.5589
1575160800.0,1.04165,1209.0,68.9718
1575161400.0,1.03646,1433.0,69.2482
1575162000.0,1.03987,1012.0,69.021
1575162600.0,1.04972,1131.0,68.3736
1575163200.0,1.0536,1552.0,68.1217
1575163800.0,1.06514,1301.0,67.3837
1575164400.0,1.08786,1318.0,65.9765
1575165000.0,1.0939,1290.0,65.612
1575165600.0,1.0963,1462.0,65.4685
1575166200.0,1.10388,1565.0,65.0187
1575166800.0,1.11849,1813.0,64.2503
1575167400.0,1.13852,1790.0,63.0409
1575168000.0,1.15354,1503.0,62.22
1575168600.0,1.13943,1921.0,63.0128
1575169200.0,1.14242,1690.0,62.9412
1575169800.0,1.16018,1567.0,61.9071
1575170400.0,1.14235,1509.0,62.8295
1575171000.0,1.12705,1519.0,63.6926
1575171600.0,1.11983,1912.0,64.0927
1575172200.0,1.10719,1854.0,64.9014
1575172800.0,1.09086,1346.0,65.8011
1575173400.0,1.09065,1565.0,65.9086
1575174000.0,1.08079,1485.0,66.4859
1575174600.0,1.08829,1797.0,66.0363
1575175200.0,1.06164,2298.0,67.6072
1575175800.0,1.07279,2028.0,66.9035
1575176400.0,1.07547,1613.0,66.7364
1575177000.0,1.10915,2012.0,64.7101
1575177600.0,1.10474,1940.0,65.0286
1575178200.0,1.12919,1782.0,63.6046
1575178800.0,1.15988,2670.0,61.8798
1575179400.0,1.18775,2328.0,60.4276
1575180000.0,1.25691,1553.0,57.103
1575180600.0,1.18349,1663.0,60.6454
1575181200.0,1.13865,2521.0,63.0332
1575181800.0,1.1747,2002.0,61.1312
1575182400.0,1.20556,2160.0,59.5352
1575183000.0,1.22636,2023.0,58.5314
1575183600.0,1.24947,2219.0,57.4427
1575184200.0,1.32792,2758.0,54.0494
1575184800.0,1.46319,4158.0,49.0808
1575185400.0,1.7340400000000002,4595.0,41.4114
1575186000.0,1.86886,4380.0,38.4047
1575186600.0,1.9003,4005.0,37.7693
1575187200.0,1.96538,2958.0,36.5186
1575187800.0,1.72879,5824.0,41.5163
1575188400.0,1.71498,5060.0,41.8508
1575189000.0,1.83543,4959.0,39.1043
1575189600.0,1.86215,4053.0,38.4946
1575190200.0,1.95441,3679.0,36.7044
1575190800.0,1.90763,5053.0,37.6045
1575191400.0,1.76941,3329.0,40.542
1575192000.0,1.58958,2762.0,45.1285
1575192600.0,1.54399,3338.0,46.46100000000001
1575193200.0,1.54769,2674.0,46.3501
1575193800.0,1.59004,4811.0,45.1154
1575194400.0,1.66904,4743.0,42.9801
1575195000.0,1.73825,5748.0,41.3646
1575195600.0,1.71585,3138.0,41.8319
1575196200.0,1.78985,2329.0,40.079
1575196800.0,1.84282,1884.0,38.927
1575197400.0,1.7387,3607.0,41.2582
1575198000.0,1.71009,3523.0,41.9484
1575198600.0,1.60692,1483.0,44.6415
1575199200.0,1.39986,1347.0,51.2453
1575199800.0,1.24671,1955.0,57.54
1575200400.0,1.24868,1614.0,57.4744
1575201000.0,1.2328,2028.0,58.1957
1575201600.0,1.23114,1076.0,58.2938
1575202200.0,1.2034,1389.0,59.6105
1575202800.0,1.16809,1195.0,61.4398
1575203400.0,1.15504,2213.0,62.1806
1575204000.0,1.16485,1521.0,61.5834
1575204600.0,1.23601,1881.0,58.0377
1575205200.0,1.24864,1939.0,57.4509
1575205800.0,1.25796,1871.0,57.0252
1575206400.0,1.27106,1595.0,56.4373
1575207000.0,1.24658,1810.0,57.5458
1575207600.0,1.19739,1855.0,59.9099
1575208200.0,1.21061,1827.0,59.2685
1575208800.0,1.19147,1933.0,60.2827
1575209400.0,1.15311,1469.0,62.2105
1575210000.0,1.12553,1517.0,63.7421
1575210600.0,1.1594,1516.0,61.87300000000001
1575211200.0,1.1540700000000002,873.0,62.1585
1575211800.0,1.11282,1133.0,64.46300000000001
1575212400.0,1.09694,1096.0,65.3961
1575213000.0,1.08962,1223.0,65.835
