,timestamp,TTI,car_count,speed
0,1546272600.0,1.10487,247.0,46.7756
1,1546273200.0,1.11909,389.0,46.1811
2,1546273800.0,1.0967799999999999,315.0,47.1926
3,1546274400.0,1.0845200000000002,238.0,47.6609
4,1546275000.0,1.05749,191.0,48.9069
5,1546275600.0,1.0573,258.0,49.0991
6,1546276200.0,1.06933,228.0,48.3303
7,1546276800.0,1.09248,202.0,47.3063
8,1546277400.0,1.0998700000000001,118.0,46.9935
9,1546278000.0,1.04653,132.0,49.4796
10,1546278600.0,1.07718,169.0,47.9783
11,1546279200.0,1.07336,154.0,48.2429
12,1546279800.0,1.0562799999999999,86.0,48.9325
13,1546280400.0,0.997266,116.0,52.0542
14,1546281000.0,0.997094,68.0,51.8666
15,1546281600.0,1.05498,167.0,49.4196
16,1546282200.0,1.01413,207.0,50.9609
17,1546282800.0,1.06708,168.0,48.4324
18,1546283400.0,1.0382,112.0,49.7909
19,1546284000.0,1.08685,142.0,47.6144
20,1546284600.0,0.986454,101.0,52.4588
21,1546285200.0,0.941459,77.0,54.9302
22,1546285800.0,0.9843120000000001,146.0,52.6085
23,1546286400.0,0.978349,68.0,52.9587
24,1546287000.0,0.9998450000000001,50.0,52.2498
25,1546287600.0,0.993934,52.0,51.5351
26,1546288200.0,1.0185799999999998,51.0,50.8052
27,1546288800.0,1.01129,51.0,51.0713
28,1546289400.0,0.9763139999999999,58.0,53.4467
29,1546290000.0,0.9128350000000001,113.0,57.2884
30,1546290600.0,1.0146,59.0,51.5843
31,1546291200.0,1.0016399999999999,53.0,51.7373
32,1546291800.0,0.9331659999999999,94.0,55.1377
33,1546292400.0,1.03797,106.0,49.9352
34,1546293000.0,0.9474049999999999,150.0,54.5739
35,1546293600.0,0.94991,287.0,52.7161
36,1546294200.0,0.9088360000000001,196.0,56.273999999999994
37,1546294800.0,0.892264,238.0,55.8894
38,1546295400.0,1.11312,190.0,46.8074
39,1546296000.0,1.02305,234.0,50.5235
40,1546296600.0,1.05711,243.0,48.9086
41,1546297200.0,1.07965,259.0,48.1829
42,1546297800.0,1.01568,233.0,50.3408
43,1546298400.0,1.02916,170.0,50.3484
44,1546299000.0,0.930969,290.0,55.5872
45,1546299600.0,1.06102,301.0,48.7719
46,1546300200.0,1.0919299999999998,202.0,46.7803
47,1546300800.0,0.999185,241.0,51.7656
48,1546301400.0,1.0418100000000001,192.0,49.6226
49,1546302000.0,1.09002,135.0,47.5021
50,1546302600.0,1.04793,181.0,49.4288
51,1546303200.0,1.12211,251.0,45.8616
52,1546303800.0,1.00698,338.0,51.3403
53,1546304400.0,1.08008,344.0,48.144
54,1546305000.0,1.07522,181.0,47.3611
