id_sample,id_road,time
0,275911,2020-01-01 08:30:00
1,275911,2020-01-01 08:40:00
2,275911,2020-01-01 08:50:00
3,275911,2020-01-01 10:30:00
4,275911,2020-01-01 10:40:00
5,275911,2020-01-01 10:50:00
6,275911,2020-01-01 12:30:00
7,275911,2020-01-01 12:40:00
8,275911,2020-01-01 12:50:00
9,275911,2020-01-01 14:30:00
10,275911,2020-01-01 14:40:00
11,275911,2020-01-01 14:50:00
12,275911,2020-01-01 16:30:00
13,275911,2020-01-01 16:40:00
14,275911,2020-01-01 16:50:00
15,275911,2020-01-01 18:30:00
16,275911,2020-01-01 18:40:00
17,275911,2020-01-01 18:50:00
18,275911,2020-01-01 20:30:00
19,275911,2020-01-01 20:40:00
20,275911,2020-01-01 20:50:00
21,275912,2020-01-01 08:30:00
22,275912,2020-01-01 08:40:00
23,275912,2020-01-01 08:50:00
24,275912,2020-01-01 10:30:00
25,275912,2020-01-01 10:40:00
26,275912,2020-01-01 10:50:00
27,275912,2020-01-01 12:30:00
28,275912,2020-01-01 12:40:00
29,275912,2020-01-01 12:50:00
30,275912,2020-01-01 14:30:00
31,275912,2020-01-01 14:40:00
32,275912,2020-01-01 14:50:00
33,275912,2020-01-01 16:30:00
34,275912,2020-01-01 16:40:00
35,275912,2020-01-01 16:50:00
36,275912,2020-01-01 18:30:00
37,275912,2020-01-01 18:40:00
38,275912,2020-01-01 18:50:00
39,275912,2020-01-01 20:30:00
40,275912,2020-01-01 20:40:00
41,275912,2020-01-01 20:50:00
42,276183,2020-01-01 08:30:00
43,276183,2020-01-01 08:40:00
44,276183,2020-01-01 08:50:00
45,276183,2020-01-01 10:30:00
46,276183,2020-01-01 10:40:00
47,276183,2020-01-01 10:50:00
48,276183,2020-01-01 12:30:00
49,276183,2020-01-01 12:40:00
50,276183,2020-01-01 12:50:00
51,276183,2020-01-01 14:30:00
52,276183,2020-01-01 14:40:00
53,276183,2020-01-01 14:50:00
54,276183,2020-01-01 16:30:00
55,276183,2020-01-01 16:40:00
56,276183,2020-01-01 16:50:00
57,276183,2020-01-01 18:30:00
58,276183,2020-01-01 18:40:00
59,276183,2020-01-01 18:50:00
60,276183,2020-01-01 20:30:00
61,276183,2020-01-01 20:40:00
62,276183,2020-01-01 20:50:00
63,276184,2020-01-01 08:30:00
64,276184,2020-01-01 08:40:00
65,276184,2020-01-01 08:50:00
66,276184,2020-01-01 10:30:00
67,276184,2020-01-01 10:40:00
68,276184,2020-01-01 10:50:00
69,276184,2020-01-01 12:30:00
70,276184,2020-01-01 12:40:00
71,276184,2020-01-01 12:50:00
72,276184,2020-01-01 14:30:00
73,276184,2020-01-01 14:40:00
74,276184,2020-01-01 14:50:00
75,276184,2020-01-01 16:30:00
76,276184,2020-01-01 16:40:00
77,276184,2020-01-01 16:50:00
78,276184,2020-01-01 18:30:00
79,276184,2020-01-01 18:40:00
80,276184,2020-01-01 18:50:00
81,276184,2020-01-01 20:30:00
82,276184,2020-01-01 20:40:00
83,276184,2020-01-01 20:50:00
84,276240,2020-01-01 08:30:00
85,276240,2020-01-01 08:40:00
86,276240,2020-01-01 08:50:00
87,276240,2020-01-01 10:30:00
88,276240,2020-01-01 10:40:00
89,276240,2020-01-01 10:50:00
90,276240,2020-01-01 12:30:00
91,276240,2020-01-01 12:40:00
92,276240,2020-01-01 12:50:00
93,276240,2020-01-01 14:30:00
94,276240,2020-01-01 14:40:00
95,276240,2020-01-01 14:50:00
96,276240,2020-01-01 16:30:00
97,276240,2020-01-01 16:40:00
98,276240,2020-01-01 16:50:00
99,276240,2020-01-01 18:30:00
100,276240,2020-01-01 18:40:00
101,276240,2020-01-01 18:50:00
102,276240,2020-01-01 20:30:00
103,276240,2020-01-01 20:40:00
104,276240,2020-01-01 20:50:00
105,276241,2020-01-01 08:30:00
106,276241,2020-01-01 08:40:00
107,276241,2020-01-01 08:50:00
108,276241,2020-01-01 10:30:00
109,276241,2020-01-01 10:40:00
110,276241,2020-01-01 10:50:00
111,276241,2020-01-01 12:30:00
112,276241,2020-01-01 12:40:00
113,276241,2020-01-01 12:50:00
114,276241,2020-01-01 14:30:00
115,276241,2020-01-01 14:40:00
116,276241,2020-01-01 14:50:00
117,276241,2020-01-01 16:30:00
118,276241,2020-01-01 16:40:00
119,276241,2020-01-01 16:50:00
120,276241,2020-01-01 18:30:00
121,276241,2020-01-01 18:40:00
122,276241,2020-01-01 18:50:00
123,276241,2020-01-01 20:30:00
124,276241,2020-01-01 20:40:00
125,276241,2020-01-01 20:50:00
126,276264,2020-01-01 08:30:00
127,276264,2020-01-01 08:40:00
128,276264,2020-01-01 08:50:00
129,276264,2020-01-01 10:30:00
130,276264,2020-01-01 10:40:00
131,276264,2020-01-01 10:50:00
132,276264,2020-01-01 12:30:00
133,276264,2020-01-01 12:40:00
134,276264,2020-01-01 12:50:00
135,276264,2020-01-01 14:30:00
136,276264,2020-01-01 14:40:00
137,276264,2020-01-01 14:50:00
138,276264,2020-01-01 16:30:00
139,276264,2020-01-01 16:40:00
140,276264,2020-01-01 16:50:00
141,276264,2020-01-01 18:30:00
142,276264,2020-01-01 18:40:00
143,276264,2020-01-01 18:50:00
144,276264,2020-01-01 20:30:00
145,276264,2020-01-01 20:40:00
146,276264,2020-01-01 20:50:00
147,276265,2020-01-01 08:30:00
148,276265,2020-01-01 08:40:00
149,276265,2020-01-01 08:50:00
150,276265,2020-01-01 10:30:00
151,276265,2020-01-01 10:40:00
152,276265,2020-01-01 10:50:00
153,276265,2020-01-01 12:30:00
154,276265,2020-01-01 12:40:00
155,276265,2020-01-01 12:50:00
156,276265,2020-01-01 14:30:00
157,276265,2020-01-01 14:40:00
158,276265,2020-01-01 14:50:00
159,276265,2020-01-01 16:30:00
160,276265,2020-01-01 16:40:00
161,276265,2020-01-01 16:50:00
162,276265,2020-01-01 18:30:00
163,276265,2020-01-01 18:40:00
164,276265,2020-01-01 18:50:00
165,276265,2020-01-01 20:30:00
166,276265,2020-01-01 20:40:00
167,276265,2020-01-01 20:50:00
168,276268,2020-01-01 08:30:00
169,276268,2020-01-01 08:40:00
170,276268,2020-01-01 08:50:00
171,276268,2020-01-01 10:30:00
172,276268,2020-01-01 10:40:00
173,276268,2020-01-01 10:50:00
174,276268,2020-01-01 12:30:00
175,276268,2020-01-01 12:40:00
176,276268,2020-01-01 12:50:00
177,276268,2020-01-01 14:30:00
178,276268,2020-01-01 14:40:00
179,276268,2020-01-01 14:50:00
180,276268,2020-01-01 16:30:00
181,276268,2020-01-01 16:40:00
182,276268,2020-01-01 16:50:00
183,276268,2020-01-01 18:30:00
184,276268,2020-01-01 18:40:00
185,276268,2020-01-01 18:50:00
186,276268,2020-01-01 20:30:00
187,276268,2020-01-01 20:40:00
188,276268,2020-01-01 20:50:00
189,276269,2020-01-01 08:30:00
190,276269,2020-01-01 08:40:00
191,276269,2020-01-01 08:50:00
192,276269,2020-01-01 10:30:00
193,276269,2020-01-01 10:40:00
194,276269,2020-01-01 10:50:00
