id_road,TTI,speed,time
275911,1.00345,69.2687,2020-01-01 07:30:00
275911,1.01057,68.781,2020-01-01 07:40:00
275911,1.01977,68.1602,2020-01-01 07:50:00
275911,1.01032,68.7977,2020-01-01 08:00:00
275911,0.9962059999999999,69.7725,2020-01-01 08:10:00
275911,1.00593,69.0979,2020-01-01 08:20:00
275911,1.06429,65.3088,2020-01-01 09:30:00
275911,1.08689,63.9508,2020-01-01 09:40:00
275911,1.1199,62.066,2020-01-01 09:50:00
275911,1.1169200000000001,62.2316,2020-01-01 10:00:00
275911,1.1154,62.3164,2020-01-01 10:10:00
275911,1.15015,60.4334,2020-01-01 10:20:00
275911,1.17892,58.9587,2020-01-01 11:30:00
275911,1.2557399999999999,55.3521,2020-01-01 11:40:00
275911,1.18267,58.772,2020-01-01 11:50:00
275911,1.1353,61.2244,2020-01-01 12:00:00
275911,1.09978,63.2012,2020-01-01 12:10:00
275911,1.1005200000000002,63.1592,2020-01-01 12:20:00
275911,1.09978,63.2014,2020-01-01 13:30:00
275911,1.09441,63.5119,2020-01-01 13:40:00
275911,1.10138,63.1096,2020-01-01 13:50:00
275911,1.09765,63.324,2020-01-01 14:00:00
275911,1.1500700000000001,60.4378,2020-01-01 14:10:00
275911,1.1420299999999999,60.8634,2020-01-01 14:20:00
275911,1.36038,51.0945,2020-01-01 15:30:00
275911,1.30913,53.0945,2020-01-01 15:40:00
275911,1.29856,53.5674,2020-01-01 15:50:00
275911,1.3024,53.4093,2020-01-01 16:00:00
275911,1.3609,51.1136,2020-01-01 16:10:00
275911,1.31528,52.8865,2020-01-01 16:20:00
275911,1.24339,55.9442,2020-01-01 17:30:00
275911,1.32732,52.4066,2020-01-01 17:40:00
275911,1.4309399999999999,48.6116,2020-01-01 17:50:00
275911,1.50932,46.0874,2020-01-01 18:00:00
275911,1.51835,45.813,2020-01-01 18:10:00
275911,1.41962,48.9994,2020-01-01 18:20:00
275911,1.16634,59.6397,2020-01-01 19:30:00
275911,1.156,60.1735,2020-01-01 19:40:00
275911,1.13558,61.2553,2020-01-01 19:50:00
275911,1.15056,60.458,2020-01-01 20:00:00
275911,1.15647,60.1488,2020-01-01 20:10:00
275911,1.20112,57.913000000000004,2020-01-01 20:20:00
275911,1.1363,61.2167,2020-01-02 07:30:00
275911,1.2891,53.9604,2020-01-02 07:40:00
275911,1.50962,46.0779,2020-01-02 07:50:00
275911,1.6378700000000002,42.4701,2020-01-02 08:00:00
275911,1.7217099999999999,40.4019,2020-01-02 08:10:00
275911,2.0392200000000003,34.1113,2020-01-02 08:20:00
275911,1.8334599999999999,37.9394,2020-01-02 09:30:00
275911,1.6942099999999998,41.0578,2020-01-02 09:40:00
275911,1.7133200000000002,40.5997,2020-01-02 09:50:00
275911,1.6086200000000002,43.2424,2020-01-02 10:00:00
275911,1.51007,46.0643,2020-01-02 10:10:00
275911,1.4175,49.0727,2020-01-02 10:20:00
275911,1.1595,59.9915,2020-01-02 11:30:00
275911,1.21803,57.1091,2020-01-02 11:40:00
275911,1.23949,56.1203,2020-01-02 11:50:00
275911,1.18239,58.8301,2020-01-02 12:00:00
275911,1.1722700000000001,59.3384,2020-01-02 12:10:00
275911,1.1339,61.3462,2020-01-02 12:20:00
275911,1.19811,58.0586,2020-01-02 13:30:00
275911,1.16658,59.6276,2020-01-02 13:40:00
275911,1.19208,58.352,2020-01-02 13:50:00
275911,1.25555,55.4021,2020-01-02 14:00:00
275911,1.19589,58.1662,2020-01-02 14:10:00
275911,1.1723700000000001,59.333,2020-01-02 14:20:00
275911,1.26005,55.2044,2020-01-02 15:30:00
275911,1.27291,54.6467,2020-01-02 15:40:00
275911,1.34788,51.6072,2020-01-02 15:50:00
275911,1.24814,55.7314,2020-01-02 16:00:00
275911,1.2437799999999999,55.9265,2020-01-02 16:10:00
275911,1.31701,52.8168,2020-01-02 16:20:00
275911,1.6918099999999998,41.1159,2020-01-02 17:30:00
275911,1.7247599999999998,40.3304,2020-01-02 17:40:00
275911,1.71465,40.5683,2020-01-02 17:50:00
275911,1.68733,41.225,2020-01-02 18:00:00
275911,1.72908,40.2298,2020-01-02 18:10:00
275911,1.73141,40.1755,2020-01-02 18:20:00
275911,1.6314600000000001,42.6368,2020-01-02 19:30:00
275911,1.52918,45.4886,2020-01-02 19:40:00
275911,1.36181,51.0794,2020-01-02 19:50:00
275911,1.4438799999999998,48.1761,2020-01-02 20:00:00
275911,1.5096399999999999,46.0775,2020-01-02 20:10:00
275911,1.45852,47.6923,2020-01-02 20:20:00
275911,1.06174,65.5155,2020-01-03 07:30:00
275911,1.14889,60.5455,2020-01-03 07:40:00
275911,1.18711,58.5962,2020-01-03 07:50:00
275911,1.38745,50.1353,2020-01-03 08:00:00
275911,1.54826,44.9282,2020-01-03 08:10:00
275911,1.6362,42.5134,2020-01-03 08:20:00
275911,1.24114,56.0455,2020-01-03 09:30:00
275911,1.32582,52.466,2020-01-03 09:40:00
275911,1.37788,50.4836,2020-01-03 09:50:00
275911,1.3973,49.782,2020-01-03 10:00:00
